1287626050;Открытие счета (вклада) наличными;1123;1123;1123;1123;1123;1123;1123;1125;1109;1103;1109;1103;1123;1109;1103;1123;good;1109;1103;1109;1103;1134;1103;1103;1123;1123;1123;
1294906455;Выдача наличных денежных средств со счета (вклада);1134;1134;1216;1216;1216;1216;6064100661;6064100661;1134;1134;1134;1134;1216;1216;1216;1216;good;1123;1134;1134;1103;1103;1111;1111;1109;1109;1134;
1300661745;Расход н/д из банкомата;1170;5281267026;1134;1170;5281267026;1134;1103;1109;1103;1109;1134;1103;1134;1134;1972462773;1972462773;good;1123;1134;1972462773;1972462773;1123;;;;;;
1304182534;Получение подкрепления наличных денег;1103;1109;1103;1109;1103;1109;1103;1109;1103;1134;1103;1134;1109;1103;1109;1103;good;1109;1103;1109;1103;1123;6064100661;7604445879;;;;
1304238875;Перевод со вклада на вклад;1134;1216;1136;1170;5281267026;1216;1216;1216;6064100661;1134;1216;1136;1136;1170;5281267026;1103;good;1123;1123;1123;1216;1134;;;;;;
1335918825;Взнос н/д на БК;6064100661;6064100661;1216;6064100661;1134;6064100661;1134;6064100661;1134;1216;1103;1119;1109;5465551953;6101025570;6101025570;good;6101025570;6101025570;6101025570;6101025570;6064100661;5465551953;6101025570;6101025570;6101025570;6064100661;
1339049046;Выдача н/д средств со вклада по л/с другого ВСП;6064100661;1134;1216;1103;1123;1123;1123;1123;1123;1123;1123;1123;1123;1123;1123;1123;good;1123;1109;1216;6064100661;1134;1216;1103;1123;1123;1125;
1341616496;Приход н/д по л/с другого ВСП, ОСБ;5281267026;1136;1136;1170;5281267026;5281267026;1170;1170;5281267026;6064100661;6064100661;6064100661;6064100661;1103;1109;1103;good;1123;1123;1109;6064100661;6064100661;;;;;;
1470886520;Приход н/д по л/с другого ВСП, ОСБ;1123;6064100661;1123;1109;6064100661;1109;1103;1134;1109;5465551953;1216;1216;1103;1123;1109;1103;good;1123;1109;1103;1134;1103;;;;;;
1475808110;Выдача наличных денежных средств со счета (вклада);1109;1103;1123;1125;6064100661;1123;1123;1123;1123;1103;1123;1123;1123;1123;1134;1123;good;6064100661;;;;;;;;;;
1503578752;Выдача наличных денежных средств со счета (вклада);;;;;6064100661;6064100661;6064100661;1125;1125;6064100661;5465551953;6101025570;6101025570;6101025570;1103;1123;good;1123;1123;1109;6064100661;6064100661;;;;;;
1522158919;Прием наличных денежных средств на счет (вклад);;;;;;;;;;;1134;1216;1136;1103;1109;1103;good;1109;1103;;;;;;;;;
1524769133;Приход н/д по л/с другого ВСП, ОСБ;1134;1103;1109;1103;1123;1123;1123;1123;1123;1123;1123;1123;1123;1123;1134;1103;good;1123;1109;1103;1109;1103;1123;1123;1109;1103;1109;
1594618244;Зачисление на вклад по л/с другого ФСП;6064100661;6064027597;6064027586;1134;1216;1125;1125;1125;1134;6064100661;6064100661;1103;1109;1216;1216;1103;good;1123;1109;1216;6064100661;6064100661;1216;1216;;;;
1614581810;Списание части вклада по л/с другого ВСП;1216;3246631463;6064100661;1123;1123;1216;890896994;1123;1123;6064100661;1123;6064100661;1123;6064100661;6064100661;6064100661;good;1123;1216;890904439;3246631463;1123;6064100661;1123;;;;
1621686324;Выдача н/д средств со вклада по л/с другого ВСП;;;;;1134;1103;1111;1109;1125;1125;6064100661;6064100661;6064100661;1103;1123;1123;good;1123;1123;1123;1123;1123;1123;1123;1109;1121;6064100661;
1644573041;Выдача наличных денежных средств со счета (вклада);1170;5465551953;6101025570;6101025570;6101025570;6064100661;1136;5281267026;1170;1103;1109;1216;890904439;3246631463;6064100661;1121;good;890896994;1216;1103;1109;1216;890904439;3246631463;1121;6064100661;890896994;
1645216776;Прием наличных денежных средств на счет (вклад);;;;;;;;;;;;;1125;1125;1125;1103;good;1123;1109;;;;;;;;;
3279832414;Выдача наличных денежных средств со счета (вклада);6101025570;6101025570;6101025570;1123;6101025570;6101025570;6101025570;1123;6101025570;6101025570;6101025570;6101025570;6064100661;890904439;890896994;1125;good;1125;6064100661;1136;5281267026;1170;;;;;;
3306437113;Взнос н/д на БК;1125;1125;6064100661;6064100661;1119;1125;1125;6064100661;6064100661;1119;1119;5465551953;6101025570;6101025570;6101025570;6101025570;good;1134;5465551953;6101025570;6101025570;6101025570;6064100661;1134;1103;;;
3306455708;Открытие счета (вклада) наличными;;;;;;;;;;1103;1123;1123;1123;1123;1109;1103;good;1109;;;;;;;;;;
3310665890;Прием наличных денежных средств на счет (вклад);;;;;;;;1134;1103;1109;5465551953;6101025570;6101025570;6101025570;6064100661;1125;good;6064100661;1103;1109;;;;;;;;
3312845805;Перевод денежных средств счета(вклада);1125;6064027586;6064027597;6064071199;6064027597;6064027586;1109;1216;1125;1125;1125;1125;1134;1134;1103;1123;good;1123;1123;1109;1125;6064100661;1125;1125;1125;1125;1134;
3314524104;Перевод со вклада на вклад;1216;1134;1134;1134;1103;1123;1123;1123;1123;1123;6064100661;6064100661;1123;1123;1123;1123;good;1123;1123;1123;1123;1123;1123;1123;1109;;;
3321512701;Открытие счета (вклада) наличными;3246631463;1125;1134;1134;5465551953;5465551953;6100958508;6100958508;3246631463;1103;1109;3246631463;1125;890896994;1216;1103;good;1123;1123;1123;1109;890904439;1216;3246631463;3246631463;3246631463;890896994;
3322884508;Перевод денежных средств счета(вклада);1123;1123;1109;1103;1123;1123;1123;1123;1123;1123;1123;1123;1103;1123;1123;1123;good;1123;1109;1103;1109;1134;6101025570;6101025570;6064100661;6101025570;6101025570;
3328033818;Выдача н/д средств со вклада по л/с другого ВСП;1216;1103;1109;1109;1216;890904439;1125;1125;3246631463;1123;1123;1134;1134;1125;1125;3246631463;good;1123;1134;890896994;1216;1216;1125;1125;6064100661;6064100661;1134;
3328293649;Выдача н/д средств со вклада по л/с другого ВСП;6101017092;6101017092;6101017092;1125;1125;1125;1125;1125;1125;1125;5465551953;1103;1123;1123;1123;1123;good;1123;1109;6101017092;6101017092;6101017092;;;;;;
3346564828;Прием наличных денежных средств на счет (вклад);;;;;;;;;;1134;1134;1103;1123;1123;1109;1103;good;1123;1134;;;;;;;;;
10004511342;Открытие счета (вклада) наличными;890904439;3246631463;3246631463;890896994;1216;5465551953;1216;6101017092;6101017092;6101017092;6101017092;6101017092;1216;1125;1125;1103;good;1109;1125;1216;;;;;;;;
10021362918;Прием наличных денежных средств на счет (вклад);;;6064100661;1136;1170;5281267026;1170;5281267026;1170;5281267026;5281267026;1170;1170;5281267026;6064100661;1103;good;1109;6064100661;1136;1170;5281267026;1170;5281267026;1170;5281267026;5281267026;
10069179785;Приход н/д по л/с другого ВСП, ОСБ;;;;;;;1125;1103;1123;1123;6064100661;1125;1125;1125;1123;1123;good;6064100661;6064100661;6064100661;1136;1170;5281267026;1170;5281267026;1136;1170;
