bad;1;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1134;1103;oper;1109;;;1134;1136;;;;;;;;;;;;;;;;
bad;2;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1136;1170;;1170;1125;oper;1121;1125;;;;;;;;;;;;;;;;;;;
bad;3;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1134;1134;1216;1216;890904439;1125;;oper;;;1134;1134;1134;1134;1216;890896994;1216;1134;1216;1216;1134;1125;1123;;;;;;
bad;4;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1134;1103;oper;1109;1125;;;;;;;;;;;;;;;;;;;
bad;5;type1;;;;;;;;;;;;;;;;1134;1216;1103;1111;1109;1216;1121;;1134;1216;1216;1121;;;1134;1216;1103;1119;1109;1216;1121;;1134;1216;1103;oper;1109;1216;;;1121;1134;1216;1216;1121;;;1134;1216;1216;1121;;1134;1216;1216;;
bad;6;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1134;1216;1216;890904439;1216;890896994;1216;890904439;;oper;;;890896994;1216;1136;1216;890904439;3246631463;;;;;;;;;;;;;
bad;7;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1134;1103;1109;;;890904439;1216;1125;;oper;1134;1134;1134;;1125;;;;;;890896994;1216;1125;;;;;;;;
bad;8;type1;;;;;;;;;;;1134;1134;;;1134;1134;1216;1216;890904439;890904439;1134;1134;890896994;890896994;1216;1216;1216;1216;890904439;890904439;890896994;890896994;1216;1216;1125;1125;;1123;1125;1125;oper;1123;1134;1134;1125;1125;1216;1216;890904439;890904439;;;;;890896994;890896994;1216;1216;;;;
bad;9;type1;;;;;;;;;;;;;;;1134;1134;;;1134;1134;1216;1216;890904439;890904439;1134;1134;890896994;890896994;1216;1216;1216;1216;890904439;890904439;890896994;890896994;1216;1216;1125;1125;oper;1123;1125;1125;;1123;1134;1134;1125;1125;1216;1216;890904439;890904439;;;;;890896994;890896994;1216;1216
bad;10;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1134;1134;1134;1134;1134;;;1123;;oper;;1134;;;;;;;;;;;;;;;;;;;
bad;11;type1;;;;;;;;;;;;;;;;;;;;;;;;;1125;1125;;6064100661;;1103;1109;;;1216;6100971872;;;;1216;1125;oper;1103;1111;1109;1121;;;1216;;1216;;;;;;;;;;;;
bad;12;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1125;890904439;1216;;;890896994;1216;1125;oper;1134;1103;1111;1109;1125;;1216;1216;1216;1216;1216;;;;;;;;;;
bad;13;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1134;;1125;oper;1125;;;1134;1216;1216;;;;;;;;;;;;;;;
bad;14;type1;890904439;890904439;1216;1216;;;;;1216;1216;890896994;890896994;;;;;1125;1125;1125;1125;1125;1125;;;1125;1125;;;1103;1103;1109;1109;1103;1103;;1123;1109;1109;1103;1103;oper;1123;1109;1109;1125;1125;1125;1125;;;1134;1134;;;1134;1134;;;1216;1216;;
bad;15;type1;;;;;;;890904439;890904439;1216;1216;;;;;1216;1216;890896994;890896994;;;;;1125;1125;1125;1125;1125;1125;;;1125;1125;;;1103;1103;1109;1109;1103;1103;oper;1123;1109;1109;1103;1103;;1123;1109;1109;1125;1125;1125;1125;;;1134;1134;1216;1216;;
bad;16;type1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1216;890896994;;;oper;;1216;890904439;;890896994;1216;1125;1125;;;;;;;;;;;;;
