01.10.14;120
02.10.14;126
03.10.14;207
04.10.14;159
05.10.14;0
06.10.14;326
07.10.14;311
08.10.14;234
09.10.14;207
10.10.14;173
11.10.14;111
12.10.14;0
13.10.14;161
14.10.14;155
15.10.14;137
16.10.14;158
17.10.14;162
18.10.14;121
19.10.14;0
20.10.14;183
21.10.14;149
22.10.14;145
23.10.14;147
24.10.14;137
25.10.14;113
26.10.14;0
27.10.14;172
28.10.14;135
29.10.14;153
30.10.14;126
31.10.14;159
01.11.14;165
02.11.14;0
03.11.14;0
04.11.14;0
05.11.14;0
06.11.14;220
07.11.14;385
08.11.14;207
09.11.14;0
10.11.14;286
11.11.14;195
12.11.14;164
13.11.14;160
14.11.14;167
15.11.14;147
16.11.14;0
17.11.14;201
18.11.14;174
19.11.14;154
20.11.14;148
21.11.14;170
22.11.14;135
23.11.14;0
24.11.14;174
25.11.14;148
26.11.14;153
27.11.14;139
28.11.14;158
29.11.14;136
30.11.14;0
01.12.14;146
02.12.14;181
03.12.14;37
04.12.14;129
05.12.14;311
06.12.14;309
07.12.14;0
08.12.14;350
09.12.14;249
10.12.14;247
11.12.14;171
12.12.14;127
13.12.14;189
14.12.14;0
15.12.14;201
16.12.14;167
17.12.14;263
18.12.14;281
19.12.14;267
20.12.14;202
21.12.14;0
22.12.14;215
23.12.14;199
24.12.14;193
25.12.14;153
26.12.14;188
27.12.14;225
28.12.14;0
29.12.14;261
30.12.14;349
31.12.14;350
01.01.15;0
02.01.15;0
03.01.15;0
04.01.15;0
05.01.15;0
06.01.15;0
07.01.15;0
08.01.15;0
09.01.15;0
10.01.15;163
11.01.15;0
12.01.15;432
13.01.15;295
14.01.15;235
15.01.15;217
16.01.15;160
17.01.15;134
18.01.15;0
19.01.15;208
20.01.15;179
21.01.15;165
22.01.15;141
23.01.15;161
24.01.15;129
25.01.15;0
26.01.15;175
27.01.15;167
28.01.15;158
29.01.15;150
30.01.15;128
31.01.15;126
01.02.15;0
02.02.15;165
03.02.15;176
04.02.15;256
05.02.15;198
06.02.15;541
07.02.15;368
08.02.15;0
09.02.15;379
10.02.15;281
11.02.15;230
12.02.15;228
13.02.15;197
14.02.15;124
15.02.15;0
16.02.15;214
17.02.15;176
18.02.15;189
19.02.15;188
20.02.15;225
21.02.15;121
22.02.15;0
23.02.15;0
24.02.15;238
25.02.15;208
26.02.15;190
27.02.15;164
28.02.15;164
